127.0.0.1 - - [06/Sep/2019:10:36:59 +0530] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [06/Sep/2019:10:37:00 +0530] "GET /yash_day9_spring_angular/ HTTP/1.1" 200 57
0:0:0:0:0:0:0:1 - - [06/Sep/2019:10:37:00 +0530] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [06/Sep/2019:10:39:11 +0530] "GET /yash_day9_spring_angular/allVendor HTTP/1.1" 200 12
0:0:0:0:0:0:0:1 - - [06/Sep/2019:10:39:58 +0530] "GET /yash_day9_spring_angular/allVendor HTTP/1.1" 200 48
0:0:0:0:0:0:0:1 - - [06/Sep/2019:10:40:20 +0530] "PUT /yash_day9_spring_angular/updateVendor/1?= HTTP/1.1" 200 12
0:0:0:0:0:0:0:1 - - [06/Sep/2019:11:02:37 +0530] "GET /yash_day9_spring_angular/allVendor HTTP/1.1" 200 50
0:0:0:0:0:0:0:1 - - [06/Sep/2019:11:02:47 +0530] "OPTIONS /yash_day9_spring_angular/saveVendor HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [06/Sep/2019:11:02:47 +0530] "POST /yash_day9_spring_angular/saveVendor HTTP/1.1" 200 15
0:0:0:0:0:0:0:1 - - [06/Sep/2019:11:02:48 +0530] "GET /yash_day9_spring_angular/allVendor HTTP/1.1" 200 89
0:0:0:0:0:0:0:1 - - [06/Sep/2019:11:02:53 +0530] "OPTIONS /yash_day9_spring_angular/deleteVendor/2 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [06/Sep/2019:11:02:53 +0530] "GET /yash_day9_spring_angular/allVendor HTTP/1.1" 200 89
0:0:0:0:0:0:0:1 - - [06/Sep/2019:11:02:53 +0530] "DELETE /yash_day9_spring_angular/deleteVendor/2 HTTP/1.1" 200 17
0:0:0:0:0:0:0:1 - - [06/Sep/2019:11:02:56 +0530] "GET /yash_day9_spring_angular/allVendor HTTP/1.1" 200 50
0:0:0:0:0:0:0:1 - - [06/Sep/2019:11:07:08 +0530] "GET /yash_day9_spring_angular/allVendor HTTP/1.1" 200 50
